,toadsuite_x,toadsuite_y,toadsuite_z,actual_x,actual_y,actual_z,toadsuite_error
0,0.5,0.5,0.5,0.5,0.5,0.5,0.0
1,0.5,2.86,0.5,0.5,2.875,0.5,0.015000000000000124
2,0.51,5.28,0.5,0.5,5.25,0.5,0.031622776601684034
3,0.5,7.53,0.5,0.5,7.625,0.5,0.09499999999999975
4,0.49,9.8,0.49,0.5,10.0,0.5,0.20049937655763353
5,2.86,0.46,0.5,2.875,0.5,0.5,0.04272001872658768
6,2.85,2.84,0.5,2.875,2.875,0.5,0.043011626335213195
7,2.89,5.26,0.5,2.875,5.25,0.5,0.01802775637731993
8,2.89,7.66,0.5,2.875,7.625,0.5,0.03807886552931972
9,2.86,9.94,0.5,2.875,10.0,0.5,0.06184658438426542
10,5.33,0.43,0.51,5.25,0.5,0.5,0.10677078252031316
11,5.27,2.87,0.5,5.25,2.875,0.5,0.020615528128087864
12,5.29,5.28,0.5,5.25,5.25,0.5,0.050000000000000176
13,5.2,7.54,0.5,5.25,7.625,0.5,0.09861541461657998
14,5.17,9.82,0.49,5.25,10.0,0.5,0.19723082923316
15,7.44,0.21,0.49,7.625,0.5,0.5,0.34412933615139507
16,7.65,2.84,0.5,7.625,2.875,0.5,0.04301162633521346
17,7.63,5.23,0.5,7.625,5.25,0.5,0.020615528128087864
18,7.43,7.4,0.49,7.625,7.625,0.5,0.29790938219532453
19,7.59,9.94,0.5,7.625,10.0,0.5,0.06946221994724952
20,9.76,0.0,0.49,10.0,0.5,0.5,0.5547071299343466
21,9.61,2.71,0.49,10.0,2.875,0.5,0.42358588267316044
22,9.56,4.99,0.48,10.0,5.25,0.5,0.5114684741017763
23,10.1,7.66,0.5,10.0,7.625,0.5,0.10594810050208517
24,10.33,10.29,0.51,10.0,10.0,0.5,0.4394314508543961
25,0.5,0.48,2.85,0.5,0.5,2.875,0.03201562118716419
26,0.49,2.83,2.84,0.5,2.875,2.875,0.05787918451395116
27,0.5,5.24,2.87,0.5,5.25,2.875,0.01118033988749871
28,0.5,7.57,2.86,0.5,7.625,2.875,0.05700877125495666
29,0.5,9.94,2.86,0.5,10.0,2.875,0.06184658438426542
30,2.84,0.44,2.84,2.875,0.5,2.875,0.07778174593052035
31,2.87,2.86,2.87,2.875,2.875,2.875,0.016583123951777048
32,2.85,5.2,2.85,2.875,5.25,2.875,0.061237243569579235
33,2.82,7.46,2.82,2.875,7.625,2.875,0.18241436346954712
34,2.87,9.96,2.87,2.875,10.0,2.875,0.04062019202317894
35,5.26,0.38,2.88,5.25,0.5,2.875,0.12051970793193947
36,5.14,2.78,2.81,5.25,2.875,2.875,0.15921683328090688
37,5.1,5.07,2.79,5.25,5.25,2.875,0.24924887161229034
38,5.1,7.39,2.79,5.25,7.625,2.875,0.29146183283579385
39,5.31,10.09,2.9,5.25,10.0,2.875,0.11101801655587225
40,7.56,0.0,2.85,7.625,0.5,2.875,0.5048267029387412
41,7.41,2.74,2.8,7.625,2.875,2.875,0.2647168298389808
42,7.48,5.12,2.82,7.625,5.25,2.875,0.2023610634484803
43,7.6,7.57,2.86,7.625,7.625,2.875,0.062249497989943586
44,7.58,9.92,2.86,7.625,10.0,2.875,0.09300537618869141
45,9.79,0.0,2.82,10.0,0.5,2.875,0.5450917353987311
46,9.81,2.75,2.83,10.0,2.875,2.875,0.23184046238739217
47,9.92,5.17,2.85,10.0,5.25,2.875,0.11586630226256475
48,10.01,7.6,2.88,10.0,7.625,2.875,0.027386127875258532
49,10.28,10.25,2.95,10.0,10.0,2.875,0.3827858409084637
50,0.5,0.4,5.25,0.5,0.5,5.25,0.09999999999999998
51,0.5,2.85,5.22,0.5,2.875,5.25,0.03905124837953341
52,0.51,5.34,5.36,0.5,5.25,5.25,0.14247806848775024
53,0.49,7.5,5.18,0.5,7.625,5.25,0.14361406616345085
54,0.49,9.81,5.16,0.5,10.0,5.25,0.2104756517984914
55,2.86,0.42,5.23,2.875,0.5,5.25,0.08381527307120099
56,2.81,2.78,5.12,2.875,2.875,5.25,0.17363755354185337
57,2.83,5.16,5.17,2.875,5.25,5.25,0.12854960132182433
58,2.82,7.46,5.15,2.875,7.625,5.25,0.2006240264773887
59,2.85,9.9,5.21,2.875,10.0,5.25,0.11056672193747957
60,5.38,0.31,5.38,5.25,0.5,5.25,0.2643860813280456
61,5.14,2.78,5.14,5.25,2.875,5.25,0.18227726133558234
62,5.17,5.15,5.17,5.25,5.25,5.25,0.15099668870541483
63,5.17,7.48,5.16,5.25,7.625,5.25,0.18848076824970728
64,5.23,9.96,5.24,5.25,10.0,5.25,0.04582575694955742
65,7.54,0.21,5.19,7.625,0.5,5.25,0.3080990100600779
66,7.44,2.76,5.12,7.625,2.875,5.25,0.25367301787931623
67,7.52,5.15,5.17,7.625,5.25,5.25,0.16560495161679203
68,7.48,7.46,5.16,7.625,7.625,5.25,0.2373815494093841
69,7.51,9.81,5.17,7.625,10.0,5.25,0.23606143268225724
70,9.54,0.0,5.02,10.0,0.5,5.25,0.7172865536171725
71,10.03,2.83,5.26,10.0,2.875,5.25,0.054999999999999556
72,10.08,5.26,5.29,10.0,5.25,5.25,0.09000000000000005
73,9.71,7.35,5.1,10.0,7.625,5.25,0.42687820276982963
74,10.09,10.05,5.29,10.0,10.0,5.25,0.11045361017187283
75,0.49,0.38,7.38,0.5,0.5,7.625,0.27299267389437404
76,0.5,2.86,7.7,0.5,2.875,7.625,0.07648529270389197
